ZoneName,OrgName,OrgType,Sex,Age,MarStatus,EduLevele,Fieldcat,Expiriance,Possition,AvilStatistician,ResearchPractice,statisticalprocedures,DataHandling,WayDatAnalysis,AsField,InstStatician,Attention,SuportResearch,Encourage,workposition,understood,DegreeLevel,NeededPlan,Access,Apply,TrianingNeed,Agecat,Expcat,Awareness
Silte Zone,Education,Government,Female,40,Single,BSc Degree,Business and economics,16,profetional worker,Yes,Usually,Yes,Besed on the understanding of the worker,on the interest of hiegher body,Yes,Yes,some level agree,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,31-40,More than or equal to 16,No
Silte Zone,Education,Government,Male,35,Married,MSc Degree,Behavioral science,12,profetional worker,Yes,Always,Yes,Besed on the understanding of the worker,in scientific way with profetionals,Yes,Yes,some level agree,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,31-40,15-Nov,Yes
Silte Zone,Education,Government,Male,29,Married,BSc Degree,Engineering technology,5,profetional worker,Yes,Always,Yes,prepared by profetionals,in scientific way with profetionals,Yes,No,some level agree,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,20-30,less than or equal to 5,Yes
Silte Zone,Education,Government,Female,37,Married,BSc Degree,Natural and computational sciences,8,profetional worker,Yes,Sometimes,Yes,prepared by profetionals,using comittes,Yes,No,some level agree,No,No,No,No,No,Yes,No,Yes,Yes,31-40,10-Jun,No
Silte Zone,Education,Government,Female,23,Married,BSc Degree,Behavioral science,1,profetional worker,Yes,Usually,Yes,Besed on the understanding of the worker,in scientific way with profetionals,Yes,Yes,some level agree,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,20-30,less than or equal to 5,No
Silte Zone,Education,Government,Male,25,Married,BSc Degree,Social and humanity,3,profetional worker,Yes,Sometimes,Yes,Besed on the understanding of the worker,using comittes,Yes,No,Disagree,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,20-30,less than or equal to 5,No
Silte Zone,Education,Government,Male,30,Married,MSc Degree,Engineering technology,7,profetional worker,Yes,Never,No,Besed on the understanding of the worker,in scientific way with profetionals,Yes,No,Disagree,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,20-30,10-Jun,Yes
Silte Zone,Education,Government,Male,52,Married,MSc Degree,Natural and computational sciences,12,profetional worker,Yes,Always,No,prepared by profetionals,in scientific way with profetionals,Yes,Yes,some level agree,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,More than or equal to 41,15-Nov,Yes
Silte Zone,Education,Government,Male,38,Married,BSc Degree,Agriculture and natural resource,4,profetional worker,No,Always,Yes,Besed on the understanding of the worker,other,Yes,No,Disagree,No,Yes,No,Yes,No,Yes,No,Yes,Yes,31-40,less than or equal to 5,No
Silte Zone,Education,Government,Male,35,Married,MSc Degree,Behavioral science,12,profetional worker,Yes,Always,Yes,Besed on the understanding of the worker,in scientific way with profetionals,Yes,Yes,some level agree,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,31-40,15-Nov,Yes
Silte Zone,Education,Government,Male,29,Married,BSc Degree,Engineering technology,5,profetional worker,Yes,Always,Yes,prepared by profetionals,in scientific way with profetionals,Yes,No,some level agree,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,20-30,less than or equal to 5,Yes
Silte Zone,Education,Government,Female,37,Married,BSc Degree,Natural and computational sciences,8,profetional worker,Yes,Sometimes,Yes,prepared by profetionals,using comittes,Yes,No,some level agree,No,No,No,No,No,Yes,No,Yes,Yes,31-40,10-Jun,No
Silte Zone,Education,Government,Female,23,Married,BSc Degree,Behavioral science,1,profetional worker,Yes,Usually,Yes,Besed on the understanding of the worker,in scientific way with profetionals,Yes,Yes,some level agree,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,20-30,less than or equal to 5,No
Silte Zone,Education,Government,Male,25,Married,BSc Degree,Social and humanity,3,profetional worker,Yes,Sometimes,Yes,Besed on the understanding of the worker,using comittes,Yes,No,Disagree,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,20-30,less than or equal to 5,No
Silte Zone,Animal,Government,Male,52,Single,BSc Degree,Agriculture and natural resource,25,profetional worker,No,Never,No,prepared by profetionals,using comittes,Yes,No,Disagree,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,More than or equal to 41,More than or equal to 16,Yes
Silte Zone,Animal,Government,Male,33,Married,BSc Degree,Agriculture and natural resource,2,profetional worker,No,Usually,Yes,Besed on the understanding of the worker,using comittes,Yes,No,Disagree,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,31-40,less than or equal to 5,No
Silte Zone,Animal,Government,Male,27,Married,BSc Degree,Agriculture and natural resource,2,profetional worker,No,Always,Yes,Besed on the understanding of the worker,using comittes,Yes,Yes,some level agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,20-30,less than or equal to 5,No
Silte Zone,Animal,Government,Male,33,Divorced,BSc Degree,Agriculture and natural resource,6,profetional worker,Yes,Usually,Yes,Besed on the understanding of the worker,using comittes,Yes,Yes,some level agree,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,31-40,10-Jun,Yes
Silte Zone,Animal,Government,Male,33,Married,BSc Degree,Agriculture and natural resource,10,Possion holder,Yes,Always,Yes,prepared by profetionals,in scientific way with profetionals,Yes,No,some level agree,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,31-40,10-Jun,Yes
Silte Zone,Animal,Government,Male,50,Married,BSc Degree,Agriculture and natural resource,7,profetional worker,Yes,Always,Yes,Besed on the understanding of the worker,using comittes,No,No,Disagree,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,More than or equal to 41,10-Jun,No
Silte Zone,Animal,Government,Female,38,Married,BSc Degree,Agriculture and natural resource,4,profetional worker,No,Never,No,prepared by profetionals,using comittes,No,No,some level agree,No,No,Yes,No,No,No,No,Yes,Yes,31-40,less than or equal to 5,No
Silte Zone,Animal,Government,Male,35,Married,BSc Degree,Agriculture and natural resource,10,profetional worker,No,Always,No,prepared by profetionals,on the interest of hiegher body,Yes,Yes,some level agree,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,31-40,10-Jun,No
Silte Zone,Animal,Government,Male,33,Married,BSc Degree,Agriculture and natural resource,10,Possion holder,Yes,Always,Yes,prepared by profetionals,in scientific way with profetionals,Yes,No,some level agree,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,31-40,10-Jun,Yes
Silte Zone,Public service,Government,Female,30,Married,BSc Degree,Business and economics,8,profetional worker,Yes,Always,Yes,prepared by profetionals,in scientific way with profetionals,Yes,No,Disagree,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,20-30,10-Jun,No
Silte Zone,Public service,Government,Female,36,Married,BSc Degree,Business and economics,3,profetional worker,Yes,Always,Yes,prepared by profetionals,in scientific way with profetionals,Yes,Yes,Disagree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,31-40,less than or equal to 5,No
Silte Zone,Public service,Government,Male,59,Single,BSc Degree,Business and economics,17,profetional worker,No,Usually,Yes,prepared by profetionals,in scientific way with profetionals,Yes,Yes,some level agree,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,More than or equal to 41,More than or equal to 16,Yes
Silte Zone,Public service,Government,Female,25,Single,BSc Degree,Business and economics,4,profetional worker,Yes,Always,Yes,prepared by profetionals,in scientific way with profetionals,Yes,Yes,Disagree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,20-30,less than or equal to 5,No
Silte Zone,Public service,Government,Male,41,Married,BSc Degree,Business and economics,13,Possion holder,Yes,Sometimes,Yes,prepared by profetionals,other,Yes,Yes,some level agree,No,No,Yes,No,No,No,Yes,Yes,Yes,More than or equal to 41,15-Nov,No
Silte Zone,Public service,Government,Male,38,Married,BSc Degree,Business and economics,2,profetional worker,Yes,Always,Yes,prepared by profetionals,using comittes,Yes,Yes,some level agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,31-40,less than or equal to 5,Yes
